#code[unique=true],supercategories,name,description,allowedPrincipals(uid)[default='customergroup'],$catalogVersion
L00000	,	   		,View all						,View all						,					,
L10001	,L00000		,Non Alc						,Non Alc						,					,
L10002	,L00000		,Alc							,Alc							,					,
L20001	,L00000		,Soft Drink						,Soft Drink						,					,
L20002	,L00000		,Frozen							,Frozen							,					,
L20003	,L00000		,Energy							,Energy                         ,					,
L20004	,L00000		,Water							,Water                          ,					,
L20005	,L00000		,Sport							,Sport                          ,					,
L20006	,L00000		,Juice							,Juice							,					,
L20007	,L00000		,Tea							,Tea                            ,					,
L20008	,L00000		,Cordial						,Cordial                        ,					,
L30001	,L20001		,Cans 200ml x 6 x 4 Slimline	,Cans 200ml x 6 x 4 Slimline    ,					,
L30002	,L20001		,Cans 250ml x 24				,Cans 250ml x 24				,					,
L30003	,L20001		,Cans 375ml x 10				,Cans 375ml x 10                ,					,
L30004	,L20001		,Cans 375ml x 12				,Cans 375ml x 12                ,					,
L30005	,L20001		,Cans 375ml x 24 Slab			,Cans 375ml x 24 Slab           ,					,
L30006	,L20001		,Cans 440ml x 24				,Cans 440ml x 24                ,					,
L30007	,L20001		,Plastic Bottles 450ml x 12		,Plastic Bottles 450ml x 12     ,					,
L30008	,L20001		,Plastic Bottles 450ml x 24		,Plastic Bottles 450ml x 24     ,					,
L30009	,L20001		,Plastic Bottles 600ml x 24		,Plastic Bottles 600ml x 24     ,					,
L30010	,L20001		,Plastic Bottles 1.1L x 12		,Plastic Bottles 1.1L x 12      ,					,
L30011	,L20001		,Plastic Bottles 1.25L x 12		,Plastic Bottles 1.25L x 12     ,					,
L30012	,L20001		,Plastic Bottles 2L x 8			,Plastic Bottles 2L x 8         ,					,
L30013	,L20001		,Glass 300ML X 12				,Glass 300ML X 12               ,					,
L30014	,L20001		,Glass 300ml x 24				,Glass 300ml x 24				,					,
L30015	,L20001		,Glass 300ml x 4 x 6			,Glass 300ml x 4 x 6            ,					,
L30016	,L20001		,Glass 330ml x 4 x 6			,Glass 330ml x 4 x 6            ,					,
L30017	,L20001		,Glass 375ml x 12				,Glass 375ml x 12               ,					,
L30018	,L20001		,Glass 375ml x 24				,Glass 375ml x 24               ,					,
L30019	,L20001		,Bag-in-Box 10L x 1				,Bag-in-Box 10L x 1             ,					,
L30020	,L20001		,Bag-in-Box 15L x 1				,Bag-in-Box 15L x 1             ,					,
L30021	,L20002		,Frozen Uncarbonated Beverages	,Frozen Uncarbonated Beverages  ,					,
L30022	,L20002		,Frozen Carbonated Beverages	,Frozen Carbonated Beverages    ,					,
L30023	,L20003		,Mountain Dew Kickstart			,Mountain Dew Kickstart         ,					,
L30024	,L20004		,Cool Ridge						,Cool Ridge                     ,					,
L30025	,L20004		,Frantelle						,Frantelle                      ,					,
L30026	,L20004		,Pop Tops						,Pop Tops						,					,
L30027	,L20004		,Voss Water						,Voss Water                     ,					,
L30028	,L20004		,Spring Valley					,Spring Valley                  ,					,
L30029	,L20004		,Gatorade						,Gatorade                       ,					,
L30030	,L20004		,Charlies						,Charlies                       ,					,
L30031	,L20005		,Gatorade						,Gatorade                       ,					,
L30032	,L20005		,Gatorade Concentrate			,Gatorade Concentrate           ,					,
L30033	,L20006		,Charlies						,Charlies                       ,					,
L30034	,L20006		,Spring Valley					,Spring Valley                  ,					,
L30035	,L20006		,Pop Tops						,Pop Tops                       ,					,
L30036	,L20006		,Phoenix						,Phoenix                        ,					,
L30037	,L20006		,Extra Juicy					,Extra Juicy                    ,					,
L30038	,L20007		,Real Iced Tea Co.				,Real Iced Tea Co.				,					,
L30039	,L20008		,Cottee’s						,Cottee’s                       ,					,
L30040	,L20008		,Schweppes						,Schweppes                      ,					,
                                                                                