#code, name,description,productDetail,portalunitvolume,packageSize,rank,premium,venue,diet
10005000,Honest Squeezed Apple,"Charlie’s juices are all about using natural ingredients and avoiding concentrates. Their Honest Squeezed Apple Juice is no different. Made using the best apples available and then pressed and bottled, this crisp and refreshing juice is a great thirst quencher when on-the-go, or enjoyed with a meal. Simply serve cold for maximum customer satisfaction.",Coming soon,samlpleUnitVol300,samplePackageSize1243,6,FALSE,venue 1,diet 1
10006152,Fruit Fix Mango & Coconut Smoothie,"A great stock choice for venues that attract a health-conscious crowd, or on-premise locations that serve breakfast through to lunch. Charlie’s Fruit Fix Mango & Coconut Smoothie is packed a hefty smoothie that’s packed full of smashed mangoes, bananas, apples and oranges then topped up with thirst-quenching coconut water — all natural. No concentrates.",Coming soon,samlpleUnitVol300,samplePackageSize1243,8,FALSE,venue 1,diet 1
10006140,Fruit Fix Spirulina Smoothie,"See green, think healthy. Charlie’s Fruit Fix Spirulina Smoothie gets its colour largely from the spirulina algae — a super food  that, when blended into a drink, goes great with other fruits like kiwi, banana, apple and orange.This smoothie is a great option for venues that attract a health-conscious audience, or on-premise locations that serve breakfast and brunch.",Coming soon,samlpleUnitVol300,samplePackageSize1243,1,FALSE,venue 1,diet 1
10004997,Honest Squeezed Orange,"A great juice option for a range of audiences, social moments and on-premise venue styles. There aren’t any concentrates, preservatives or additional sugar. Charlie’s Honest Squeezed Orange Juice is exactly what it says it is on the bottle: fresh oranges, squeezed for great morning, noon or night refreshment. ",Coming soon,samlpleUnitVol300,samplePackageSize1243,145,FALSE,venue 1,diet 1
"2919	",Lemonade,"Known around the world, Schweppes Lemonade is a great thirst-quencher for a range of social occasions and audiences. Its crisp, clean taste and sharp Schweppervescence has been inspired by the original 1835, handcrafted recipe, making it a classic in its own right. Available in larger 600ml bottles to provide longer lasting refreshment both on and off-premise. ",Coming soon,samlpleUnitVol600,samplePackageSize2464,1,FALSE,venue 1,diet 1
"2925	",Raspberry,"Known around the world, Schweppes Lemonade is a great thirst-quencher for a range of social occasions and audiences. Its crisp, clean taste and sharp Schweppervescence has been inspired by the original 1835, handcrafted recipe, making it a classic in its own right. Available in larger 600ml bottles to provide longer lasting refreshment both on and off-premise. ",Coming soon,samlpleUnitVol600,samplePackageSize2464,165,FALSE,venue 1,diet 1
"2918	",Lemon,"Great for on-the-go refreshment or enjoying on-premise over ice, Solo Original Lemon in 600ml PET bottle format is great for crushing bigger thirsts. Made using 5 per cent crushed lemons and with a soft fizzy texture, this citrus drink is easy going at any time of day and whatever the weather.",Coming soon,samlpleUnitVol600,samplePackageSize2464,1,FALSE,venue 1,diet 1
10005124,Berry Chill,"Gatorade sports drink has been helping the world’s most famous athletes stay hydrated for over 50 years. Scientifically formulated, the sodium, potassium and essential carbohydrates work to rehydrate, refuel and replenish muscles. Help keep your active clientele refreshed and performing at their best by offering Gatorade Berry Chill as a before, during, or post-workout drink option.",Coming soon,samlpleUnitVol600,samplePackageSize1243,1,FALSE,venue 1,diet 1
10000838,Lemon Lime,"Help your sporty, active clientele rehydrate, replenish and refuel during and after their workout by serving Gatorade Lemon Lime. For over 50 years, Gatorade’s unique, high-energy formula of sodium, potassium and essential carbohydrates has helped keep the muscles and minds of athletes at all levels performing at their best.",Coming soon,samlpleUnitVol600,samplePackageSize1243,188,FALSE,venue 1,diet 1
10000844,Blue Bolt,"For over 50 years Gatorade has kept athletes from all walks of sport performing at their best. Part of the Gatorade Fierce range, Blue Bolt delivers a unique formula of sodium, potassium and essential carbohydrates to keep muscles and minds sharp during moments of action.Help your sporty and active customers rehydrate, replenish and refuel when they need it most. ",Coming soon,samlpleUnitVol600,samplePackageSize1243,1,FALSE,venue 1,diet 1
10006110,Grape,"Part of the Fierce range, this grape flavoured drink possesses a bold, intense taste and delivers the unique Gatorade formula that’s been keeping professional athletes hydrated for over 50 years. Scientifically developed, the high-energy drink provides sodium, potassium and essential carbohydrates to keep muscles and mind working at their best, during and after intense activity.",Coming soon,samlpleUnitVol600,samplePackageSize1243,1,FALSE,venue 1,diet 1
"3221	",Cola,"Serve the refreshing taste of Pepsi Cola in 600ml PET bottle format. There’s good reason why this carbonated soft-drink has become globally recognised and is a much-loved choice across Australia . It’s crisp and refreshing when served cold, and full of flavour for greater satisfaction. Pepsi Cola can be enjoyed at any time and is suitable for a range of social occasions. ",Coming soon,samlpleUnitVol600,samplePackageSize2464,1,FALSE,venue 1,diet 1
"3226	",Cola,"Stock Australia’s number one selling no-sugar cola*: Pepsi Max. An iconic brand that’s known around the world, Pepsi Max’s no sugar makes it a healthier cola drink option .This 600ml bottle format is great for both on and off premise refreshment, as a chilled bottle of Pepsi Max can be picked up and enjoyed at any time of day.[footnote text] *Based on volume",Coming soon,samlpleUnitVol600,samplePackageSize2464,,FALSE,venue 1,diet 1
10005919,Vanilla,"Stock Australia’s number one selling no-sugar cola*: Pepsi Max. An iconic brand that’s known around the world, Pepsi Max’s no sugar makes it a healthier cola drink option .This 600ml bottle format is great for both on and off premise refreshment, as a chilled bottle of Pepsi Max can be picked up and enjoyed at any time of day. [footnote text] *Based on volume",Coming soon,samlpleUnitVol600,samplePackageSize2464,,FALSE,venue 1,diet 1
10000997,Orange,"Attract a sporty clientele? Serve Gatorade Orange Ice — developed specifically to provide key hydration to muscles and mind during and after intense activity. For 50 years Gatorade’s proven formula of sodium, potassium and essential carbohydrates have helped athletes of all levels from around the world rehydrate, replenish and refuel, keeping them at the top of their game.",Coming soon,samlpleUnitVol600,samplePackageSize1243,121,FALSE,venue 1,diet 1
10000840,Tropical,"Gatorade Tropical sports drink is a great option for your sporty clientele. For 50 years, Gatorade’s proven formula of sodium, potassium and essential electrolytes has been keeping the muscles and minds of athletes around the world performing at their best during the pinnacle of activity and after a workout. ",Coming soon,samlpleUnitVol600,samplePackageSize1243,111,FALSE,venue 1,diet 1
10006231,Pineapple,"For over 50 years, Gatorade has proven to keep athletes hydrated and performing at their best.  Gatorade delivers a unique formula of sodium, potassium and essential carbohydrates to your muscles and mind during the heat of battle. Rehydrate, replenish and refuel with Gatorade and maintain your high level of performance when It matters the most. ",Coming soon,samlpleUnitVol600,samplePackageSize1243,13,FALSE,venue 1,diet 1
10006111,Strawberry,"For over 50 years, Gatorade has proven to keep athletes hydrated and performing at their best.  Gatorade delivers a unique formula of sodium, potassium and essential carbohydrates to your muscles and mind during the heat of battle. Rehydrate, replenish and refuel with Gatorade and maintain your high level of performance when It matters the most. ",Coming soon,samlpleUnitVol600,samplePackageSize1243,12,FALSE,venue 1,diet 1
